"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.496768197E0,-4.908113480E-1,9.888052940E0,1.502361596E-1,9.901366453E0
1.501735958E0,-4.620809257E-1,9.897629738E0,1.550245583E-1,9.909622890E0
1.506703718E0,-4.429273009E-1,9.888052940E0,1.598129570E-1,9.899258342E0
1.511671478E0,-4.141969085E-1,9.883264542E0,1.550245583E-1,9.893154689E0
1.516639239E0,-3.806780577E-1,9.883264542E0,1.598129570E-1,9.891884247E0
1.521606999E0,-3.423708379E-1,9.878476143E0,1.502361596E-1,9.885549029E0
1.526574760E0,-2.944868207E-1,9.873687744E0,1.646013707E-1,9.879449669E0
1.531542520E0,-2.561795712E-1,9.864110947E0,1.550245583E-1,9.868654688E0
1.536510281E0,-2.082955539E-1,9.854534149E0,1.550245583E-1,9.857954298E0
1.541478041E0,-1.508347094E-1,9.859322548E0,1.693897694E-1,9.861931104E0
1.546445801E0,-9.816227108E-2,9.844957352E0,1.598129570E-1,9.846743689E0
1.551413562E0,-4.070143029E-2,9.816226959E0,1.550245583E-1,9.817535380E0
1.556381322E0,1.675941236E-2,9.811438560E0,1.598129570E-1,9.812754337E0
1.561349083E0,7.900865376E-2,9.806650162E0,1.693897694E-1,9.808431203E0
1.566316843E0,1.316810995E-1,9.792284966E0,1.550245583E-1,9.794397244E0
1.571284603E0,2.035071403E-1,9.763554573E0,1.646013707E-1,9.767062336E0
1.576252364E0,2.657563984E-1,9.758766174E0,1.598129570E-1,9.763692124E0
